jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,aset,omset,marketplace,kapasitas_produksi,status_legalitas,tahun_berdiri,laba,biaya_karyawan,jumlah_pelanggan,nama_usaha,Cluster_KMeans_cat_a,Cluster_KMeans_cat_b,CrossCluster
0.0,65.0,60.0,6367533.0,16430952.0,2.6,177.0,1.0,2000.0,10063419.0,375000000.0,177.0,UD. Nazar Dwijaputra Dito,1,1,11
3.0,62.0,54.0,2253804.0,21170169.0,4.0,227.0,1.0,2023.0,18916365.0,348000000.0,227.0,UD. Lutfi Reswara,0,0,0
5.0,41.0,63.0,8197878.0,11057708.0,2.0,786.0,0.0,2022.0,2859830.0,312000000.0,786.0,UD. Ujang Wibawa,0,1,1
1.0,90.0,2.0,4532792.0,15019139.0,4.0,785.0,1.0,2020.0,10486347.0,276000000.0,785.0,UD. Jafar Sanjaya,0,0,0
3.0,33.0,29.0,5234170.0,21124439.0,3.0,442.0,1.0,2012.0,15890269.0,186000000.0,442.0,UD. Xenia Nirbayu,1,0,10
1.0,28.0,57.0,2198887.0,3043503.0,4.0,189.0,0.0,2017.0,844616.0,255000000.0,189.0,UD. Jihan Gatra,0,0,0
4.0,25.0,12.0,5082393.0,44835866.0,2.0,503.0,0.0,2001.0,39753473.0,111000000.0,503.0,UD. Dewi Mandiri,1,0,10
2.0,22.0,71.0,8521201.0,31411063.0,1.0,803.0,0.0,2008.0,22889862.0,279000000.0,803.0,UD. Fikri Jaladara,1,1,11
5.0,35.0,23.0,2349733.0,19402681.0,2.0,765.0,1.0,2022.0,17052948.0,174000000.0,765.0,UD. Lukman Wangi,0,0,0
5.0,8.0,68.0,9078456.0,46549795.0,1.0,405.0,1.0,2005.0,37471339.0,228000000.0,405.0,UD. Jasmin Prajurit,1,1,11
2.0,84.0,6.0,5652991.0,33930538.0,2.0,618.0,1.0,2020.0,28277547.0,270000000.0,618.0,UD. Ony Mayang,0,1,1
1.0,41.0,50.0,9929308.0,2320739.0,2.0,502.0,1.0,2024.0,-7608569.0,273000000.0,502.0,UD. Gema Prana,0,1,1
2.0,99.0,53.0,3607300.0,5946689.0,1.0,329.0,1.0,2018.0,2339389.0,456000000.0,329.0,UD. Celsi Cahyaningrat,0,0,0
3.0,66.0,50.0,9754163.0,40253559.0,3.0,720.0,1.0,2023.0,30499396.0,348000000.0,720.0,UD. Ucup Tirtayasa,0,1,1
1.0,6.0,26.0,3383876.0,4000272.0,2.0,384.0,0.0,2021.0,616396.0,96000000.0,384.0,UD. Hilmiyah Tunggul,0,0,0
5.0,22.0,11.0,3625751.0,8055755.0,2.0,857.0,1.0,2014.0,4430004.0,99000000.0,857.0,UD. Cipta Nawasena Qira,0,0,0
4.0,31.0,40.0,9283358.0,28633735.0,0.0,675.0,0.0,2008.0,19350377.0,213000000.0,675.0,UD. Ony Nawasena,1,1,11
1.0,22.0,88.0,624431.0,22106121.0,4.0,98.0,1.0,2013.0,21481690.0,330000000.0,98.0,UD. Livia Wijaya,0,0,0
4.0,15.0,32.0,1713807.0,49053971.0,0.0,385.0,1.0,2008.0,47340164.0,141000000.0,385.0,UD. Carissa Rejo,1,0,10
5.0,68.0,78.0,2876700.0,21587581.0,2.0,556.0,0.0,2020.0,18710881.0,438000000.0,556.0,UD. Qisya Berkarya Pandu,0,0,0
1.0,12.0,30.0,5601571.0,14916664.0,2.0,628.0,0.0,2022.0,9315093.0,126000000.0,628.0,UD. Ujang Kusumah Erlangga,0,1,1
4.0,9.0,10.0,1317922.0,10659378.0,2.0,358.0,1.0,2021.0,9341456.0,57000000.0,358.0,UD. Nina Sanjaya,0,0,0
1.0,58.0,35.0,8823691.0,36100504.0,3.0,443.0,0.0,2001.0,27276813.0,279000000.0,443.0,UD. Jihan Prima,1,1,11
2.0,1.0,5.0,8472112.0,31463643.0,0.0,243.0,0.0,2007.0,22991531.0,18000000.0,243.0,UD. Mira Kelana,1,1,11
1.0,79.0,44.0,9556446.0,27716675.0,4.0,869.0,1.0,2014.0,18160229.0,415200000.0,869.0,UD. Jaya Ayodya,0,1,1
5.0,51.0,59.0,5654448.0,20659180.0,3.0,153.0,0.0,2023.0,15004732.0,330000000.0,153.0,UD. Niken Arya,0,1,1
2.0,0.0,89.0,4576055.0,13784473.0,1.0,604.0,1.0,2011.0,9208418.0,267000000.0,604.0,UD. Sekar Siang,1,0,10
5.0,69.0,71.0,1275561.0,21044172.0,2.0,689.0,1.0,2008.0,19768611.0,420000000.0,689.0,UD. Hanafi Bagaskara,1,0,10
5.0,53.0,36.0,3859502.0,26304658.0,3.0,783.0,0.0,2010.0,22445156.0,267000000.0,783.0,UD. Gema Wijaksana,1,0,10
5.0,18.0,29.0,4545348.0,34126892.0,1.0,612.0,1.0,2016.0,29581544.0,141000000.0,612.0,UD. Eddy Wira,0,0,0
1.0,96.0,37.0,2446193.0,42005804.0,2.0,76.0,1.0,2013.0,39559611.0,399000000.0,76.0,UD. Marsel Gandewa,0,0,0
5.0,27.0,15.0,1453143.0,43793219.0,3.0,602.4,1.0,2005.0,42340076.0,126000000.0,666.0,UD. Niken Ananta,1,0,10
1.0,4.0,78.0,4391363.0,49396220.0,2.0,809.0,1.0,2019.0,45004857.0,246000000.0,809.0,UD. Qyla Prana Balqis,0,0,0
4.0,75.0,37.0,1751832.0,43957907.0,0.0,417.0,0.4,2021.0,42206075.0,336000000.0,417.0,UD. Prananda Manggala,0,0,0
5.0,29.0,52.0,9060988.0,12455336.0,2.0,684.0,1.0,2002.0,3394348.0,243000000.0,684.0,UD. Qanita Mandiri,1,1,11
4.0,80.0,7.0,6910775.0,22777305.0,4.0,105.0,1.0,2024.0,15866530.0,261000000.0,105.0,UD. Tania Madani,0,1,1
2.0,18.0,98.0,7023060.0,38011563.0,4.0,574.0,1.0,2012.0,30988503.0,348000000.0,574.0,UD. Wulan Sukma Fikri,0,1,1
3.0,41.0,8.0,7011130.0,41076645.0,2.0,901.0,1.0,2015.0,34065515.0,147000000.0,901.0,UD. Chiko Tejakencana Pandu,0,1,1
5.0,24.0,20.0,5748456.0,35167429.0,3.0,920.0,1.0,2011.0,29418973.0,132000000.0,920.0,UD. Candra Kalbu,1,1,11
1.0,34.0,40.0,9619374.0,35581221.0,1.0,942.0,0.0,2021.0,25961847.0,222000000.0,942.0,UD. Delia Paseban,0,1,1
5.0,8.0,68.0,5995579.0,8846732.0,1.0,418.0,1.0,2012.0,2851153.0,228000000.0,418.0,UD. Taufan Jatiwangi,0,1,1
5.0,95.0,18.0,514600.0,2703541.0,4.0,606.0,1.0,2021.0,2188941.0,339000000.0,606.0,UD. Kamil Nirmala,0,0,0
3.0,38.0,79.0,2653894.0,12152355.0,4.0,983.0,1.0,2018.0,9498461.0,351000000.0,983.0,UD. Damar Wibawa,0,0,0
5.0,55.0,17.0,8390333.0,11467618.0,3.0,416.0,1.0,2020.0,3077285.0,216000000.0,416.0,UD. Berlian Cempaka,0,1,1
0.0,37.0,75.0,5983839.0,26039591.0,0.0,64.0,1.0,2008.0,20055752.0,336000000.0,64.0,UD. Riko Wening,1,1,11
0.0,14.0,79.0,983727.0,33508384.0,4.0,16.0,1.0,2023.0,32524657.0,279000000.0,16.0,UD. Fani Manik,0,0,0
1.0,45.0,4.0,2992835.0,22527761.0,4.0,270.0,0.4,2009.0,19534926.0,147000000.0,270.0,UD. Xenia Paningrat Najwa,1,0,10
1.0,36.0,66.0,3638845.0,23829753.0,2.0,983.0,1.0,2018.0,20190908.0,306000000.0,983.0,UD. Wira Gatra,0,0,0
5.0,89.0,70.0,9687373.0,7985555.0,0.0,860.0,1.0,2016.0,-1701818.0,477000000.0,860.0,UD. Jay Wiyata,0,1,1
5.0,59.0,31.0,3995268.0,18040058.0,0.0,628.0,1.0,2021.0,13740666.0,270000000.0,628.0,UD. Lono Senopati,0,0,0
3.0,61.0,94.0,6403103.0,44398258.0,4.0,720.0,0.0,2006.0,37995155.0,465000000.0,720.0,UD. Via Wijapranata Yusuf,1,1,11
3.4,30.0,77.0,8955003.0,2617312.0,2.0,977.0,1.0,2024.0,-6337691.0,321000000.0,977.0,UD. Krisna Segar,0,1,1
3.0,29.0,87.0,6198421.0,14974366.0,3.0,589.0,1.0,2023.0,8775945.0,348000000.0,589.0,UD. Pasha Atma,0,1,1
4.0,65.0,47.0,4581101.0,4193956.0,1.0,15.0,0.0,2016.0,-387145.0,315600000.0,15.0,UD. Vidi Warna,0,0,0
4.0,6.0,32.0,1488268.0,26726330.8,4.0,901.0,0.0,2013.0,19366444.0,114000000.0,901.0,UD. Gusti Sanjaya,0,0,0
1.0,29.0,68.0,7904087.0,33026450.0,1.0,878.0,1.0,2003.0,25122363.0,291000000.0,878.0,UD. Pandu Adhi,1,1,11
5.0,32.0,71.0,9510396.0,42483616.0,1.0,915.0,0.0,2015.0,32973220.0,309000000.0,915.0,UD. Zulkarnaen Agastya,0,1,1
5.0,37.0,1.0,5198349.0,35555936.0,1.0,827.0,0.0,2019.0,30357587.0,114000000.0,827.0,UD. Qanitah Nusa,0,0,0
5.0,83.0,53.0,6846532.0,30415011.0,4.0,517.0,1.0,2000.0,23568479.0,408000000.0,517.0,UD. Wira Kamajaya,1,1,11
2.0,18.0,41.0,9388786.0,45365124.0,3.0,890.0,0.0,2005.0,35976338.0,177000000.0,890.0,UD. Anisa Galuh,1,1,11
5.0,8.0,34.0,9466333.0,7317305.0,0.0,261.0,1.0,2016.0,-2149028.0,126000000.0,261.0,UD. Iqra Abadi,0,1,1
2.0,85.0,60.0,5690300.0,49554542.0,2.0,407.0,0.0,2017.0,43864242.0,435000000.0,407.0,UD. Ucup Jatiwangi,0,1,1
1.0,31.0,59.0,9647996.0,21893566.0,0.0,534.0,0.0,2017.0,12245570.0,270000000.0,534.0,UD. Desi Tirta,0,1,1
4.0,29.0,97.0,2581966.4,32255212.0,2.0,633.0,0.0,2020.0,31172085.0,378000000.0,633.0,UD. Lukita Panji,0,0,0
5.0,5.0,93.0,4729202.0,26166349.0,0.0,883.0,1.0,2024.0,21437147.0,294000000.0,883.0,UD. Okta Tejakencana,0,0,0
5.0,60.0,48.0,7768394.0,25032131.0,4.0,265.0,0.0,2011.0,17263737.0,324000000.0,265.0,UD. Farhan Sukarela Qomar,1,1,11
3.0,80.0,22.0,4933187.0,45639857.0,4.0,895.0,0.0,2004.0,40706670.0,306000000.0,895.0,UD. Qamar Bahagia,1,0,10
1.0,36.0,67.0,6064560.0,11604241.0,1.0,80.0,1.0,2016.0,5539681.0,309000000.0,80.0,UD. Ina Sumirat,0,1,1
5.0,78.0,34.0,3297749.0,32063713.0,2.0,414.0,1.0,2019.0,28765964.0,336000000.0,414.0,UD. Lidya Cinta,0,0,0
1.0,70.0,13.0,4389594.0,26914736.0,3.0,372.4,1.0,2004.0,22525142.0,249000000.0,746.0,UD. Balqis Sehat,1,0,10
4.0,77.0,21.0,7742494.0,7072143.0,4.0,404.0,0.0,2009.0,-670351.0,294000000.0,404.0,UD. Alya Sukarela,1,1,11
2.0,19.0,29.0,6818061.0,1546138.0,2.0,15.0,1.0,2003.0,-5271923.0,144000000.0,15.0,UD. Adinda Putra,1,1,11
4.0,29.0,2.0,4324406.0,9152979.0,4.0,429.0,0.0,2010.0,4828573.0,93000000.0,429.0,UD. Salwa Malam,1,0,10
1.0,17.0,74.0,2619311.0,31575615.0,3.0,596.0,0.0,2018.0,28956304.0,273000000.0,596.0,UD. Vega Putra,0,0,0
1.0,62.0,9.0,8453097.0,47037549.0,2.0,576.0,0.0,2008.0,38584452.0,213000000.0,576.0,UD. Cipta Citra,1,1,11
2.0,60.0,66.0,668929.0,27034322.0,1.0,43.0,0.0,2000.0,26365393.0,378000000.0,43.0,UD. Farid Darma,1,0,10
5.0,56.0,40.0,1833661.0,37695680.0,2.0,487.0,1.0,2021.0,35862019.0,288000000.0,487.0,UD. Qais Sari,0,0,0
4.0,21.0,47.0,7834514.0,39300093.0,3.0,722.0,0.0,2021.0,31465579.0,204000000.0,722.0,UD. Pandu Mulya,0,1,1
5.0,88.0,49.0,7823436.0,44900616.0,1.0,848.0,1.0,2021.0,37077180.0,411000000.0,848.0,UD. Vita Kalbu,0,1,1
5.0,87.0,68.0,8166464.0,40243035.0,4.0,951.0,0.0,2012.0,32076571.0,465000000.0,951.0,UD. Utha Mulya Tami,1,1,11
4.0,94.0,57.0,6216996.0,4835731.0,1.0,814.0,1.0,2014.0,-1381265.0,453000000.0,814.0,UD. Fitri Manunggal,0,1,1
1.0,48.0,14.0,2284119.0,6474127.0,4.0,965.0,1.0,2004.0,4190008.0,186000000.0,965.0,UD. Rosa Nirbayu,1,0,10
5.0,17.0,47.0,5772091.0,19593100.0,3.0,923.0,1.0,2015.0,13821009.0,192000000.0,923.0,UD. Jodi Kinarya,0,1,1
2.0,97.0,5.0,7709862.0,20021216.0,0.0,570.0,0.0,2018.0,12311354.0,306000000.0,570.0,UD. Marsel Indah,0,1,1
5.0,60.0,3.0,3167245.0,32833474.0,0.0,102.0,0.0,2008.0,29666229.0,189000000.0,102.0,UD. Marsel Anggara,1,0,10
2.0,81.0,22.0,6471002.0,48263438.0,3.0,350.0,0.0,2021.0,41792436.0,309000000.0,350.0,UD. Fikri Saprahan,0,1,1
4.0,77.0,44.0,6530226.0,23618639.0,4.0,919.0,1.0,2018.0,17088413.0,363000000.0,919.0,UD. Lono Pagi,0,1,1
5.0,67.0,64.0,1678922.0,30925502.0,1.0,793.0,0.0,2004.0,29246580.0,393000000.0,793.0,UD. Gracia Wening,1,0,10
1.0,6.0,55.0,4660357.0,28711773.0,4.0,163.0,0.0,2009.0,24051416.0,183000000.0,163.0,UD. Zahira Sehat,1,0,10
5.0,6.0,97.0,8775493.0,9318872.0,0.0,126.0,0.0,2000.0,543379.0,309000000.0,126.0,UD. Fahmi Paseban,1,1,11
2.0,64.0,62.0,6110896.0,2734733.0,1.0,232.0,0.0,2024.0,-3376163.0,378000000.0,232.0,UD. Lutfi Prajurit Lukita,0,1,1
2.0,39.0,14.0,8143858.0,12367808.0,2.0,316.0,0.0,2007.0,4223950.0,159000000.0,316.0,UD. Farhan Artha,1,1,11
4.0,23.0,3.0,7102010.0,45711456.0,0.0,514.0,0.0,2023.0,38609446.0,78000000.0,514.0,UD. Vidi Siang Pasha,0,1,1
2.0,31.0,90.0,9345476.0,10948708.0,3.0,596.0,0.0,2022.0,1603232.0,363000000.0,596.0,UD. Eni Lempung,0,1,1
1.0,9.0,76.0,2136222.0,31990500.0,1.0,361.0,0.0,2011.0,29854278.0,255000000.0,361.0,UD. Rian Trisaktiatma Elyas,1,0,10
1.0,8.0,31.0,4725317.0,3055356.0,4.0,867.0,0.0,2005.0,-1669961.0,117000000.0,867.0,UD. Mega Kencana Qiana,1,0,10
4.0,38.0,8.0,8938648.0,47191623.0,2.0,328.0,1.0,2001.0,38252975.0,138000000.0,328.0,UD. Mario Ayodya,1,1,11
4.0,2.0,88.0,4543115.0,10845504.0,0.0,938.0,0.0,2006.0,6302389.0,270000000.0,938.0,UD. Oki Bima,1,0,10
3.0,98.0,56.0,8175371.0,6904087.0,1.0,69.0,1.0,2002.0,-1271284.0,462000000.0,69.0,UD. Isna Sunardi,1,1,11
5.0,68.0,66.0,4643502.0,36564026.0,0.0,686.0,0.0,2004.0,31920524.0,402000000.0,686.0,UD. Rangga Gandewa,1,0,10
1.0,6.0,38.0,5412783.0,40562865.0,3.0,916.0,1.0,2019.0,35150082.0,340200000.0,916.0,UD. Vina Lingga,0,1,1
1.0,11.0,39.0,3374122.0,13118720.0,0.0,669.0,0.0,2016.0,9744598.0,150000000.0,669.0,UD. Priska Utamaindah,0,0,0
5.0,22.0,15.0,2004492.0,27739373.0,4.0,726.0,0.0,2022.0,25734881.0,111000000.0,726.0,UD. Habib Wicaksana Heri,0,0,0
5.0,88.0,80.0,5767326.0,31815146.0,4.0,427.0,0.0,2000.0,26047820.0,504000000.0,427.0,UD. Tasya Sejahtera,1,1,11
5.0,62.0,90.0,3724723.0,14597303.0,3.0,709.0,1.0,2019.0,10872580.0,456000000.0,709.0,UD. Barokah Jayengprana,0,0,0
1.0,16.0,9.0,7312656.0,12475465.0,1.8,874.0,0.0,2007.0,5162809.0,75000000.0,874.0,UD. Yani Raharja Ulil,1,1,11
4.0,77.0,52.0,1428796.0,45430601.0,2.0,323.0,0.0,2013.0,44001805.0,387000000.0,323.0,UD. Vera Citra,0,0,0
4.0,98.0,64.0,8011901.0,29918845.0,1.0,692.0,0.0,2012.0,21906944.0,486000000.0,692.0,UD. Xenia Manunggal,1,1,11
5.0,63.0,49.0,6430384.0,35305109.0,0.0,205.0,1.0,2011.0,28874725.0,336000000.0,205.0,UD. Ulya Jayeng,1,1,11
1.0,64.0,28.0,5525997.0,28183026.0,3.0,575.0,0.0,2024.0,22657029.0,276000000.0,575.0,UD. Pandu Bijaksana,0,1,1
5.0,85.0,17.0,8560631.0,24678508.0,1.0,465.0,0.0,2024.0,16117877.0,306000000.0,465.0,UD. Agus Asmaralaya,0,1,1
5.0,27.0,51.0,625732.0,24037128.0,3.0,123.0,1.0,2023.0,23411396.0,234000000.0,123.0,UD. Halimah Agastya,0,0,0
4.0,57.0,31.0,5761132.0,18854152.0,3.0,453.0,0.0,2004.0,13093020.0,264000000.0,453.0,UD. Jay Kusen Umi,1,1,11
2.0,86.0,32.0,4155547.0,17819815.0,2.0,788.0,0.0,2021.0,13664268.0,354000000.0,788.0,UD. Qira Wiraatmaja,0,0,0
5.0,17.0,85.0,7668440.0,16707622.0,4.0,203.0,1.0,2001.0,9039182.0,306000000.0,203.0,UD. Cakra Bahagia Aldo,1,1,11
5.0,43.0,10.0,1846066.0,4216980.0,1.0,31.0,1.0,2008.0,2370914.0,159000000.0,31.0,UD. Ucup Pusaka,1,0,10
1.0,63.0,28.0,8910181.0,45870750.0,2.0,13.0,1.0,2001.0,36960569.0,273000000.0,13.0,UD. Wesly Hastinapura,1,1,11
4.0,36.0,19.0,6310803.0,30142721.0,4.0,51.0,0.0,2000.0,23831918.0,165000000.0,51.0,UD. Jasmine Saputra,1,1,11
2.0,2.0,21.0,4324593.0,17139506.0,3.0,482.0,0.2,2004.0,12814913.0,69000000.0,482.0,UD. Widi Saputrautama Leni,1,0,10
4.0,13.0,95.0,6515796.0,6370100.0,2.0,573.0,0.0,2023.0,-145696.0,324000000.0,573.0,UD. Jafar Harmoni,0,1,1
5.0,6.0,71.0,5912096.0,37142615.0,4.0,565.0,0.0,2018.0,31230519.0,231000000.0,565.0,UD. Riyan Wirajaya,0,1,1
5.0,16.0,85.0,1637198.0,12665632.0,4.0,263.0,1.0,2005.0,11028434.0,303000000.0,263.0,UD. Nisa Tunggal,1,0,10
4.0,69.0,14.0,9459994.0,22315520.0,2.0,891.0,0.0,2008.0,12855526.0,249000000.0,891.0,UD. Balqis Jagadmaya,1,1,11
1.0,82.0,34.0,4156933.0,33992950.0,0.0,920.0,1.0,2011.0,29836017.0,390600000.0,920.0,UD. Elva Manggala Tono,1,0,10
5.0,78.0,79.0,5520889.0,4868784.0,2.0,597.0,0.0,2007.0,-652105.0,471000000.0,597.0,UD. Celsi Jagad Esa,1,1,11
1.0,38.0,92.0,6310790.0,22871380.0,3.0,874.0,0.0,2005.0,16560590.0,390000000.0,874.0,UD. Jihan Pancasila,1,1,11
5.0,4.0,33.0,4895913.0,35817838.0,0.0,425.0,1.0,2017.0,30921925.0,111000000.0,425.0,UD. Ilmi Bersemi,0,0,0
4.0,78.0,19.0,5131715.0,6431189.0,1.0,79.0,0.0,2003.0,1299474.0,291000000.0,79.0,UD. Krisna Padi,1,0,10
5.0,51.0,76.0,1341645.0,35798492.0,4.0,116.0,1.0,2006.0,34456847.0,381000000.0,116.0,UD. Pandu Gemilang,1,0,10
2.0,25.0,55.0,637607.0,36965570.0,1.0,266.0,0.0,2024.0,36327963.0,240000000.0,266.0,UD. Livia Buana,0,0,0
