nama_usaha,laba,jenis_usaha,tenaga_kerja_perempuan,tenaga_kerja_laki_laki,tahun_berdiri,status_legalitas,marketplace,kapasitas_produksi,aset,omset,biaya_karyawan,jumlah_pelanggan,Cluster_KMeans_cat_a,Cluster_KMeans_cat_b,CrossCluster
UD. Karim Asmaralaya,-2951035.0,5.0,-1.0963653752894589,1.205021223620647,0.272922194920046,1.0,0.0,0.8308255147007586,0.9663496324090808,-1.4544446934308628,0.0785369182710026,0.8310916036344078,0,1,01
UD. Jafar Gandewa,34836432.0,4.0,-0.7851674027424328,-0.4541434162490607,-0.5562178090880772,0.0,3.0,0.2821108935226936,1.4215636324386465,1.2953934019069595,-0.8773324630920466,0.2820545555884517,1,1,11
UD. Elyas Wiraatmaja,17065158.0,5.0,-1.3384082428260349,1.1013234336287905,0.4111121955880665,0.0,0.0,0.327837111954199,-0.2435633240351563,-0.2770959243542445,-0.1665577948990099,0.3278076429256147,0,0,00
UD. Erlangga Wiyata,9740643.0,2.0,1.566106167612875,-0.2813137662626329,-1.1089778117601592,0.0,4.0,-1.666529491942999,-1.1939475208929458,-0.9760297933671356,0.9118589430490456,-1.667730858626033,1,0,10
UD. Hasna Saputranegara,12644475.0,2.0,0.0446938573829699,-0.0739181862789194,0.9638721982601486,0.0,2.0,-1.25499352605945,-1.6900263372681414,-0.8669171040514008,-0.0195009669970023,-1.255953072591566,0,0,00
UD. Halim Surya,13309023.0,3.6,0.909132670013598,1.7235101735799307,-1.6617378144322414,0.0,3.0,0.2856282949405017,0.2049030226947359,-0.4554187494915267,1.8677283244120948,0.2855740238451566,1,1,11
UD. Farhan Mulyo,34510730.0,4.0,1.254908195065849,0.3754389036857931,-0.4180278084200566,0.0,4.0,-0.6288960736896066,0.975811063590182,1.1866617212362285,1.1569536562190583,-0.6294877228981034,1,1,11
UD. Farhan Sukadarma,42613809.0,5.0,1.7044163776337755,0.4100048336830787,0.549302196256087,0.0,3.0,0.5670204083651504,-1.457089159733651,1.2893346035613586,1.500086254657076,0.5671314843815443,0,0,00
UD. Qisha Saprahan,40437845.0,5.0,0.2521591724143206,0.1680433237020796,1.3784422002642105,0.0,0.0,0.1484496396459854,1.3224307504953698,1.6709504106400503,0.299122160124014,0.1483147618336676,0,1,01
UD. Tasya Tunggul,29620364.0,2.0,1.4969510626024247,-0.0186126982832624,1.6548222016002512,1.0,4.0,1.2388440791664992,1.2412088757862416,0.893197632681084,0.7402926438300368,1.23934992141217,0,1,01
UD. Yudi Kamajaya,7599645.0,4.0,-0.9926327177737836,-1.2145938761893436,0.8256821975921281,1.0,4.0,-1.0439494409909635,0.5718169212058644,-0.7870477441258502,-1.563597659968082,-1.0447849771892752,0,1,01
UD. Putri Wiraatmaja Rafif,27949766.0,5.0,-0.1973490101536058,0.3063070436912219,0.549302196256087,1.0,4.0,1.421748952892521,-0.1578236113610069,0.5084936969905246,0.0785369182710026,1.422362270760822,0,0,00
UD. Olivia Kusumasari,26743044.0,4.0,0.3904693824352211,0.4445707636803643,1.1020621989281691,1.0,2.0,0.5951596197076153,0.6545060590673956,0.5775714943063813,0.5932358159280292,0.5952872304351831,0,1,01
UD. Dea Tunggul Ziva,42316256.0,5.0,-0.3010816676692812,0.548268553672221,0.272922194920046,1.0,4.0,1.20015266357061,-0.4701471203296383,1.458308133170183,0.1765748035390077,1.2006357705884163,0,0,00
UD. Iqra Panji,30340026.0,4.0,0.5633571449613467,-0.2813137662626329,-1.3853578130962003,0.0,3.0,0.4685331686665233,-0.167584498943971,0.6727775794378346,0.201084274856009,0.4685863731938086,1,0,10
UD. Tono Surapati,30303492.0,2.0,-1.44214090034171,-0.6615389962327742,-0.4180278084200566,1.0,4.0,-0.7555225247306986,0.1467111024902278,0.7306898366866366,-1.490069246017078,-0.7561885801394779,1,1,11
UD. Qisha Kusumah,36411826.0,5.0,0.4596244874456713,-1.5256872461649136,0.1347321942520254,1.0,2.0,-1.3921721813539665,0.2489926696565129,1.1807230448839203,-0.7547851065070402,-1.3932123346030552,0,1,01
UD. Tari Jayeng,14467426.0,4.0,-1.2346755853103593,-1.0763301562002012,0.549302196256087,1.0,2.0,-1.149471483525207,0.2961889022248995,-0.3562380706640912,-1.6371260739190858,-1.1503690248904206,0,1,01
UD. Uli Widhi,1443409.0,2.6,-0.7160122977319826,-0.4195774862517751,0.549302196256087,0.0,0.0,-0.6077916651827581,-0.4507058835602991,-1.417556180403002,-0.8038040491410428,-0.6083709133578744,0,0,00
UD. Clarissa Cahaya,14100697.0,2.0,-0.8543225077528831,0.9976256436369336,-0.9707878110921389,1.0,3.0,0.1590018438994097,-1.3622643498406437,-0.7012444281843854,0.1030463895880039,0.1588731666037821,1,0,10
UD. Nisa Hastinapura,19215487.0,4.0,1.4969510626024247,-0.5924071362382031,-0.003457806415995,0.0,1.0,1.7277628762418265,-0.4635836070912569,-0.1679421610666093,0.6422547585620317,1.7285560090941436,1,0,10
UD. Chiko Suryaatmaja,1438940.0,5.0,0.6325122499717969,1.377850873607075,-0.8325978104241182,1.0,3.0,1.456922967070602,-0.9883326283176476,-1.5213372849888396,1.4265578407060722,1.4575569533278705,1,0,10
UD. Damar Panji,-966481.0,2.0,1.53152861510765,0.0989114637075085,-0.5562178090880772,0.0,1.0,-1.0720886523334283,-0.4980880866080822,-1.5964583387665905,1.1569536562190583,-1.072940723242914,1,0,10
UD. Qayla Sukarela,30437016.0,2.0,-0.9926327177737836,-0.6961049262300598,0.4111121955880665,1.0,3.0,-1.5539726465731394,0.3928596521677269,0.7944441795236376,-1.195955590213063,-1.555107874411478,0,1,01
UD. Kinan Buana,13830054.0,5.0,0.1138489623934201,0.8593619236477912,-1.1089778117601592,0.0,4.0,-0.991188419723842,1.2683503154367295,-0.2140502660512838,0.6912737011960343,-0.9919929533387026,1,1,11
UD. Niken Lintang,19447906.0,2.2,0.2521591724143206,0.5137026236749355,0.549302196256087,0.0,1.0,-0.931392595621104,-1.178532471785814,-0.2891594837616603,0.5442168732940267,-0.9321619929747202,0,0,00
UD. Lidya Pamungkas,16610775.0,1.0,0.978287775024048,-1.2491598061866291,-1.6617378144322414,0.0,3.0,-1.089675659422469,1.120728193576192,-0.0465506086416963,-0.1910672662160112,-1.0905380645264382,1,1,11
UD. Farid Agastya,2465437.0,4.0,0.079271409888195,-1.3874235261757712,-0.5562178090880772,0.0,0.0,1.0137303884267803,-1.3866235539726026,-1.5256687924783847,-0.9263514057260492,1.0141039529830598,1,0,10
UD. Yumna Sentosa,3640941.0,5.0,1.6698388251285503,-1.1454620161947724,1.6548222016002512,0.0,2.0,-0.3545387631005742,-0.7045105596509953,-1.311578639885835,0.3726505740750178,-0.3549691988751254,0,0,00
UD. Yusuf Suryaputra,13373861.0,0.0,-1.0963653752894589,0.8593619236477912,0.6874921969241076,0.0,3.0,1.6327930379610074,0.3283585004078859,-0.427091728983908,-0.1665577948990099,1.6335303661631126,0,1,01
UD. Krisna Trisula,11729890.0,0.0,-0.5777020877110821,-1.2145938761893436,0.6874921969241076,1.0,3.0,1.6046538266185426,1.131416004887171,-0.3883656664961762,-1.2694840041640667,1.6053746201094738,0,1,01
UD. Heri Wiyata,5066991.0,3.0,1.0820204325397234,0.8939278536450768,-0.003457806415995,1.0,2.0,-1.1037452650937014,-0.7106677200702232,-1.212294395468874,1.4020483693890708,-1.1046159375532576,0,0,00
UD. Anang Baswara,42319881.0,3.0,-1.2692531378155845,-1.6293850361567703,-0.5562178090880772,1.0,1.0,0.3805981332213206,0.0342992693675319,1.5556442172595488,-2.053787086308107,0.3805996667761874,1,0,10
UD. Gilang Galang,36037162.0,3.0,-0.9926327177737836,-0.9726323662083444,1.1020621989281691,1.0,1.0,0.0183057871870853,0.1942609718363642,1.1437938101480694,-1.392031360749073,0.0180944363355882,0,1,01
UD. Sekar Trijaya,2048411.0,0.0,1.289485747571074,0.2026092536993652,-0.8325978104241182,1.0,4.0,-1.3288589558334205,-1.3391432405144297,-1.5459118494220914,1.0589157709510533,-1.3298619059823678,1,0,10
UD. Diyan Prawira,27972433.0,5.0,-1.3038306903208094,0.3063070436912219,-1.1089778117601592,1.0,4.0,0.943382360070618,-1.3491940663251138,0.2785733397258995,-0.7057661638730377,0.9437145878489628,1,0,10
UD. Fajar Darussalam Lukita,10056449.0,1.0,0.4596244874456713,-0.8343686462192021,1.5166322009322308,0.0,4.0,-1.3007197444909555,-0.3452770955054891,-0.7904537838711709,-0.264595680167015,-1.3017061599287292,0,0,00
UD. Yumna Wira,5567269.0,5.0,0.1830040674038704,-0.0047863262843482,-0.6944078097560977,0.4,0.0,1.5905842209473102,1.559870756566426,-0.7400833560288657,0.1275558609050052,1.591296747082655,1,1,11
UD. Sani Segar,44281523.0,3.0,0.7362449074874723,1.2741530836152182,1.3784422002642105,1.0,2.0,1.133322036632256,-0.2295346336002178,1.6430725266176196,1.4265578407060722,1.1337658737110246,0,0,00
UD. Nazar Baruna,11120279.0,5.0,-0.3010816676692812,1.032191573634219,-1.6617378144322414,0.0,1.0,-1.5539726465731394,1.1893318980415517,-0.420168545456068,0.5197074019770254,-1.555107874411478,1,1,11
UD. Nazar Dwijaputra Dito,10063419.0,0.0,0.5287795924561216,0.3754389036857931,-1.6617378144322414,1.0,2.6,-1.1354018778539745,0.4190520566394995,-0.6428676052911394,0.6422547585620317,-1.1362911518636012,1,1,11
UD. Lutfi Reswara,18916365.0,3.0,0.4250469349404462,0.1680433237020796,1.5166322009322308,1.0,4.0,-0.959531806963569,-1.086916750913257,-0.3089765831854536,0.4216695167090203,-0.9603177390283588,0,0,00
UD. Ujang Wibawa,2859830.0,5.0,-0.3010816676692812,0.4791366936776498,1.3784422002642105,0.0,2.0,1.006695585591164,1.0891113816607028,-1.0214275934037842,0.1275558609050052,1.0070650164696502,0,1,01
UD. Jafar Sanjaya,10486347.0,1.0,1.393218405086749,-1.6293850361567703,1.1020621989281691,1.0,4.0,1.003178184173356,-0.2526165719789999,-0.7423337587911996,-0.1665577948990099,1.0035455482129452,0,0,00
UD. Xenia Nirbayu,15890269.0,3.0,-0.5777020877110821,-0.6961049262300598,-0.003457806415995,1.0,3.0,-0.2032905021348255,0.0041464258518579,-0.3121983889058696,-0.9018419344090478,-0.203632063836817,1,0,10
UD. Jihan Gatra,844616.0,1.0,-0.7505898502372077,0.2717411136939364,0.6874921969241076,0.0,4.0,-1.0931930608402771,-1.1070209651199714,-1.5860506310942923,-0.3381240941180188,-1.0940575327831432,0,0,00
UD. Dewi Mandiri,39753473.0,4.0,-0.8543225077528831,-1.2837257361839147,-1.5235478137642209,0.0,2.0,0.0112709843514691,-0.0514166478712615,1.3583376082038543,-1.5145787173340794,0.0110554998221785,1,0,10
UD. Fikri Jaladara,22889862.0,2.0,-0.9580551652685584,0.7556641336559344,-0.5562178090880772,0.0,1.0,1.066491409693902,1.2074746362077038,0.412522889182236,-0.1420483235820087,1.0668959768336326,1,1,11
UD. Lukman Wangi,17052948.0,5.0,-0.5085469827006319,-0.9035005062137732,1.3784422002642105,1.0,2.0,0.9328301558171938,-1.0517987152478716,-0.4335010299199108,-0.9998798196770528,0.9331561830788484,0,0,00
UD. Jasmin Prajurit,37471339.0,5.0,-1.44214090034171,0.6519663436640778,-0.9707878110921389,1.0,1.0,-0.3334343545937255,1.411476564349497,1.4790886743876936,-0.5587093359710301,-0.3338523893348963,1,1,11
UD. Ony Mayang,28277547.0,2.0,1.1857530900553988,-1.491121316167628,1.1020621989281691,1.0,2.0,0.4157721473994017,0.1574699340236535,0.590026912087227,-0.2155767375330124,0.4157943493432359,0,1,01
UD. Gema Prana,-7608569.0,1.0,-0.3010816676692812,0.0297796037129373,1.6548222016002512,1.0,2.0,0.007753582933661,1.722959545324636,-1.6369713656167235,-0.1910672662160112,0.0075360315654737,0,1,01
UD. Celsi Cahyaningrat,2339389.0,2.0,1.7044163776337755,0.133477393704794,0.8256821975921281,1.0,1.0,-0.6007568623471419,-0.5914240344150562,-1.3815131007590244,1.3040104841210658,-0.6013319768444647,0,0,00
UD. Ucup Tirtayasa,30499396.0,3.0,0.5633571449613467,0.0297796037129373,1.5166322009322308,1.0,3.0,0.7745470920158288,1.658841829549283,1.0355013321202653,0.4216695167090203,0.7747801115271302,0,1,01
UD. Hilmiyah Tunggul,616396.0,1.0,-1.5112960053521602,-0.7998027162219166,1.2402521995961897,0.0,2.0,-0.4072997843676958,-0.6732159013218619,-1.5186435933222229,-1.6371260739190858,-0.4077612227256981,0,0,00
UD. Cipta Nawasena Qira,4430004.0,5.0,-0.9580551652685584,-1.3182916661812003,0.272922194920046,1.0,2.0,1.25643108625554,-0.5846694255265864,-1.2329235336578872,-1.6126166026020845,1.256947262695694,0,0,00
UD. Ony Nawasena,19350377.0,4.0,-0.6468571927215323,-0.3158796962599184,-0.5562178090880772,0.0,0.0,0.6162640282144639,1.486487830430752,0.2168524050827023,-0.6812566925560365,0.6164040399754122,1,1,11
UD. Livia Wijaya,21481690.0,1.0,-0.9580551652685584,1.3432849436097891,0.1347321942520254,1.0,4.0,-1.413276589860815,-1.6834035184831808,-0.2430361609760758,0.2746126888070128,-1.414329144143284,0,0,00
UD. Carissa Rejo,47340164.0,4.0,-1.2000980328051345,-0.5924071362382031,-0.5562178090880772,1.0,0.0,-0.4037823829498877,-1.284600807926265,1.6555148401810151,-1.2694840041640667,-0.4042417544689933,1,0,10
UD. Qisya Berkarya Pandu,18710881.0,5.0,0.6325122499717969,0.9976256436369336,1.1020621989281691,0.0,2.0,0.1976932594952989,-0.8588847278146563,-0.2795687465493218,1.1569536562190583,0.1975873174275354,0,0,00
UD. Ujang Kusumah Erlangga,9315093.0,1.0,-1.3038306903208094,-0.6615389962327742,1.3784422002642105,0.0,2.0,0.4509461615774828,0.1386459142390828,-0.7495534076256547,-1.392031360749073,0.4509890319102844,0,1,01
UD. Nina Sanjaya,9341456.0,4.0,-1.4075633478364848,-1.352857596178486,1.2402521995961897,1.0,2.0,-0.4987522212307066,-1.429527822170038,-1.0494910500539771,-1.955749201040102,-0.4992673974000241,0,0,00
UD. Jihan Prima,27276813.0,1.0,0.2867367249195457,-0.4887093462463463,-1.5235478137642209,0.0,3.0,-0.1997731007170173,1.318211270681349,0.742907053611573,-0.1420483235820087,-0.2001125955801121,1,1,11
UD. Mira Kelana,22991531.0,2.0,-1.6841837678782858,-1.5256872461649136,-0.6944078097560977,0.0,0.0,-0.9032533842786392,1.1895039573433557,0.4162272964592856,-2.274372328161119,-0.9040062469210814,1,1,11
UD. Jaya Ayodya,18160229.0,1.0,1.0128653275292732,-0.1776159762707761,0.272922194920046,1.0,4.0,1.298639903269237,1.5864608742839,0.152242976830685,0.9706816742098486,1.2991808817761523,0,1,01
UD. Niken Arya,15004732.0,5.0,0.0446938573829699,0.3408729736885075,1.5166322009322308,0.0,3.0,-1.219819511881369,0.1580033178592451,-0.3449771798018909,0.2746126888070128,-1.2207583900245176,0,1,01
UD. Sekar Siang,9208418.0,2.0,-1.7187613203835108,1.377850873607075,-0.1416478070840156,1.0,1.0,0.3665285275500882,-0.2367786962897761,-0.8293194133200255,-0.2400862088500137,0.366521793749368,1,0,10
UD. Hanafi Bagaskara,19768611.0,5.0,0.667089802477022,0.7556641336559344,-0.5562178090880772,1.0,2.0,0.6655076480637775,-1.445035490433247,-0.3178534223578844,1.0098968283170506,0.6656765955692799,1,0,10
UD. Gema Wijaksana,22445156.0,5.0,0.1138489623934201,-0.4541434162490607,-0.2798378077520361,0.0,3.0,0.9961433813377396,-0.4990970130671696,0.0527624509630989,-0.2400862088500137,0.9965066116995356,1,0,10
UD. Eddy Wira,29581544.0,5.0,-1.0963653752894589,-0.6961049262300598,0.549302196256087,1.0,1.0,0.3946677388925531,-0.248020026035494,0.6038605976421488,-1.2694840041640667,0.3946775398030068,0,0,00
UD. Marsel Gandewa,39559611.0,1.0,1.6006837201181,-0.4195774862517751,0.1347321942520254,1.0,2.0,-1.4906594210525934,-1.0164862891798103,1.1589518670988446,0.8383305290980418,-1.4917574457907907,0,0,00
UD. Niken Ananta,42340076.0,5.0,-0.7851674027424328,-1.180027946192058,-0.9707878110921389,1.0,3.0,0.3609006852815951,-1.3800256288738606,1.2848802264200223,-1.392031360749073,0.5847288256650686,1,0,10
UD. Qyla Prana Balqis,45004857.0,1.0,-1.5804511103626104,0.9976256436369336,0.9638721982601486,1.0,2.0,1.0875958182007506,-0.3043914123934703,1.6796272343644103,-0.4116525080690226,1.0880127863738616,0,0,00
UD. Prananda Manggala,42206075.0,4.0,0.8745551175083727,-0.4195774862517751,1.2402521995961897,0.4,0.0,-0.2912255375800282,-1.2706804782431007,1.2964829541804397,0.3236316314410153,-0.2916187702544381,0,0,00
UD. Qanita Mandiri,3394348.0,5.0,-0.7160122977319826,0.0989114637075085,-1.3853578130962003,1.0,2.0,0.6479206409747369,1.4050818156603315,-0.9229608126162562,-0.4361619793860238,0.6480792542857557,1,1,11
UD. Tania Madani,15866530.0,4.0,1.0474428800344984,-1.4565553861703424,1.6548222016002512,1.0,4.0,-1.3886547799361584,0.6179240550021954,-0.1957493809487036,-0.2891051514840163,-1.38969286634635,0,1,01
UD. Wulan Sukma Fikri,30988503.0,2.0,-1.0963653752894589,1.6889442435826452,-0.003457806415995,1.0,4.0,0.2610064850158449,0.6590297543703505,0.8775464767091585,0.4216695167090203,0.2609377460482227,0,1,01
UD. Chiko Tejakencana Pandu,34065515.0,3.0,-0.3010816676692812,-1.4219894561730568,0.4111121955880665,1.0,2.0,1.4111967486390966,0.6546623767735024,1.0934900306375268,-1.2204650615300645,1.4118038659907075,0,1,01
UD. Candra Kalbu,29418973.0,5.0,-0.8889000602581082,-1.00719829620563,-0.1416478070840156,1.0,3.0,1.478027375577451,0.1924181068889599,0.6771693240559814,-1.3430124181150709,1.4786737628680997,1,1,11
UD. Delia Paseban,25961847.0,1.0,-0.543124535205857,-0.3158796962599184,1.2402521995961897,0.0,1.0,1.555410206769229,1.6094977843773166,0.7063221216213083,-0.6077282786050326,1.556102064515606,0,1,01
UD. Taufan Jatiwangi,2851153.0,5.0,-1.44214090034171,0.6519663436640778,-0.003457806415995,1.0,1.0,-0.2877081361622201,0.2828857895265036,-1.177197003517552,-0.5587093359710301,-0.2880993019977333,0,1,01
UD. Kamil Nirmala,2188941.0,5.0,1.566106167612875,-1.0763301562002012,1.2402521995961897,1.0,4.0,0.3735633303857044,-1.723610848645748,-1.610001899765276,0.3481411027580166,0.3735607302627777,0,0,00
UD. Damar Wibawa,9498461.0,3.0,-0.4048143251849565,1.032191573634219,0.8256821975921281,1.0,4.0,1.6996236648993617,-0.9404503550437712,-0.9443066669564568,0.4461789880260216,1.7004002630405048,0,0,00
UD. Berlian Cempaka,3077285.0,5.0,0.1830040674038704,-1.1108960861974868,1.1020621989281691,1.0,3.0,-0.2947429389978363,1.1595660049131256,-0.9925482935381434,-0.6567472212390352,-0.295138238511143,0,1,01
UD. Riko Wening,20055752.0,0.0,-0.4393918776901817,0.8939278536450768,-0.5562178090880772,1.0,0.0,-1.5328682380662908,0.2785879678176187,0.0340877433992781,0.3236316314410153,-1.533991064871249,1,1,11
UD. Fani Manik,32524657.0,0.0,-1.2346755853103593,1.032191573634219,1.5166322009322308,1.0,4.0,-1.70170350612108,-1.5518711378430183,0.5602849883588973,-0.1420483235820087,-1.7029255411930817,0,0,00
UD. Xenia Paningrat Najwa,19534926.0,1.0,-0.1627714576483807,-1.5602531761621992,-0.4180278084200566,0.4,4.0,-0.8082835459978203,-0.8163696065061941,-0.213330449977689,-1.2204650615300645,-0.8089806039900506,1,0,10
UD. Wira Gatra,20190908.0,1.0,-0.4739694301954067,0.5828344836695066,0.8256821975921281,1.0,2.0,1.6996236648993617,-0.5798759265950584,-0.1216014914485847,0.0785369182710026,1.7004002630405048,0,0,00
UD. Jay Wiyata,-1701818.0,5.0,1.3586408525815243,0.7210982036586489,0.549302196256087,1.0,0.0,1.2669832905089642,1.6343911045121091,-1.2378693189536056,1.4755767833400746,1.2675056674658087,0,1,01
UD. Lono Senopati,13740666.0,5.0,0.3213142774247708,-0.6269730662354887,1.2402521995961897,1.0,0.0,0.4509461615774828,-0.4493953041976238,-0.5295016110738686,-0.2155767375330124,0.4509890319102844,0,0,00
UD. Via Wijapranata Yusuf,37995155.0,3.0,0.3904693824352211,1.5506805235935028,-0.8325978104241182,0.0,4.0,0.7745470920158288,0.4320736510334549,1.3275069071826466,1.3775388980720695,0.7747801115271302,1,1,11
UD. Krisna Segar,-6337691.0,3.4,-0.6814347452267575,0.963059713639648,1.6548222016002512,1.0,2.0,1.6785192563925129,1.3662824431035885,-1.616076972703517,0.201084274856009,1.6792834535002756,0,1,01
UD. Pasha Atma,8775945.0,3.0,-0.7160122977319826,1.3087190136125038,1.5166322009322308,1.0,3.0,0.3137675062829665,0.3571429233487889,-0.7454881411992509,0.4216695167090203,0.3137297698987953,0,1,01
UD. Vidi Warna,-387145.0,4.0,0.5287795924561216,-0.0739181862789194,0.549302196256087,0.0,1.0,-1.705220907538888,-0.2349314383389215,-1.504998016695215,0.1569672264854067,-1.7064450094497865,0,0,00
UD. Gusti Sanjaya,19366444.0,4.0,-1.5112960053521602,-0.5924071362382031,0.1347321942520254,0.0,4.0,1.4111967486390966,-1.3671669416911874,0.0824704728127349,-1.490069246017078,1.4118038659907075,0,0,00
UD. Pandu Adhi,25122363.0,1.0,-0.7160122977319826,0.6519663436640778,-1.2471678124281798,1.0,1.0,1.3302965160295102,0.9815593086049104,0.5263313973231879,-0.0440104383140036,1.330856096086496,1,1,11
UD. Zulkarnaen Agastya,32973220.0,5.0,-0.6122796402163072,0.7556641336559344,0.4111121955880665,0.0,1.0,1.4604403684884102,1.5696027235433423,1.19261505176719,0.1030463895880039,1.4610764215845753,0,1,01
UD. Qanitah Nusa,30357587.0,5.0,-0.4393918776901817,-1.663950966154056,0.9638721982601486,0.0,1.0,1.1509090437212963,-0.008967055530933,0.7045407230286838,-1.490069246017078,1.1513632149945487,0,0,00
UD. Wira Kamajaya,23568479.0,5.0,1.1511755375501735,0.133477393704794,-1.6617378144322414,1.0,4.0,0.0605146042007826,0.5944057449473494,0.3423482547752417,0.9118589430490456,0.0603280554160464,1,1,11
UD. Anisa Galuh,35976338.0,2.0,-1.0963653752894589,-0.2813137662626329,-0.9707878110921389,0.0,3.0,1.372505333043207,1.525083294410677,1.3956253066944724,-0.9753703483600517,1.373089715166954,1,1,11
UD. Iqra Abadi,-2149028.0,5.0,-1.44214090034171,-0.5232752762436319,0.549302196256087,1.0,0.0,-0.8399401587580932,1.553471980957431,-1.2849493905186185,-1.392031360749073,-0.8406558183003943,0,1,01
UD. Ucup Jatiwangi,43864242.0,2.0,1.220330642560624,0.3754389036857931,0.6874921969241076,0.0,2.0,-0.3263995517581093,0.1711281478342828,1.6907814597146775,1.132444184902057,-0.3268134528214866,0,1,01
UD. Desi Tirta,12245570.0,1.0,-0.6468571927215323,0.3408729736885075,0.6874921969241076,0.0,0.0,0.1203104283035205,1.6199758297735434,-0.2580112520520223,-0.2155767375330124,0.1201590157800288,0,1,01
UD. Lukita Panji,31172085.0,4.0,-0.7160122977319826,1.6543783135853596,1.1020621989281691,0.0,2.0,0.4685331686665233,-0.9667818712914704,0.4719955346465591,0.6667642298790329,0.4685863731938086,0,0,00
UD. Okta Tejakencana,21437147.0,5.0,-1.5458735578573854,1.5161145935962173,1.6548222016002512,1.0,0.0,1.3478835231185506,-0.1807140880060797,0.0430181971388036,-0.0195009669970023,1.34845343737002,0,0,00
UD. Farhan Sukarela Qomar,17263737.0,5.0,0.3558918299299959,-0.0393522562816338,-0.1416478070840156,0.0,4.0,-0.8258705530868609,0.9318843238396874,-0.0368906163446614,0.2255937461730102,-0.8265779452735749,1,1,11
UD. Qamar Bahagia,40706670.0,3.0,1.0474428800344984,-0.9380664362110588,-1.1089778117601592,0.0,4.0,1.390092340132248,-0.1060385206051525,1.4149810108490113,0.0785369182710026,1.3906870564504783,1,0,10
UD. Ina Sumirat,5539681.0,1.0,-0.4739694301954067,0.6174004136667922,0.549302196256087,1.0,1.0,-1.476589815381361,0.3081386037769796,-0.9829228231042838,0.1030463895880039,-1.477679572763971,0,1,01
UD. Lidya Cinta,28765964.0,5.0,0.978287775024048,-0.5232752762436319,0.9638721982601486,1.0,2.0,-0.3017777418334526,-0.7047455853355867,0.4585038973482001,0.3236316314410153,-0.3021771750245527,0,0,00
UD. Balqis Sehat,22525142.0,1.0,0.7016673549822471,-1.2491598061866291,-1.1089778117601592,1.0,3.0,-0.4481016408142699,-0.3050390143187699,0.0957441432941722,-0.3871430367520213,0.8662862862014562,1,0,10
UD. Alya Sukarela,-670351.0,4.0,0.943710222518823,-0.9726323662083444,-0.4180278084200566,0.0,4.0,-0.3369517560115336,0.9224027580594388,-1.3022217354569223,-0.0195009669970023,-0.3373718575916012,1,1,11
UD. Adinda Putra,-5271923.0,2.0,-1.0617878227842337,-0.6961049262300598,-1.2471678124281798,1.0,2.0,-1.705220907538888,0.5839829781778723,-1.691544160999186,-1.2449745328470656,-1.7064450094497865,1,1,11
UD. Salwa Malam,4828573.0,4.0,-0.7160122977319826,-1.6293850361567703,-0.2798378077520361,0.0,4.0,-0.2490167205663309,-0.3289032733953277,-1.155621050391371,-1.661635545236087,-0.24938515117398,1,0,10
